20.9,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
21.46,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
21.52,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
21.58,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
21.78,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
21.85,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
21.9,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.02,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.06,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.11,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.14,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.27,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.3,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.31,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.34,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.38,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.39,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.41,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.42,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.43,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.44,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.52,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.53,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.55,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.59,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.61,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.64,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.68,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.7,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.73,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.78,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.81,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
22.85,"[20.9, 25.0[","[20.9, 30.0[","[20.9, 40.0[","[20.9, 49.52["
